batch #,D,Dalt,,,,11111111,batch size= 10
1,49.06015038,52.63157895,,,,,
2,63.43984962,66.82330827,,,,,
3,75.93984962,74.53007519,,,,,
4,83.08270677,78.28947368,,,,,
5,84.4924812,80.16917293,,,,,
6,85.52631579,87.5,,,,,
7,86.09022556,90.03759398,,,,,
8,87.68796992,90.03759398,,,,,
9,89.84962406,92.10526316,,,,,
10,90.31954887,92.66917293,,,,,
11,90.31954887,93.98496241,,,,,
12,90.31954887,93.98496241,,,,,
13,90.5075188,94.64285714,,,,,
14,90.5075188,94.64285714,,,,,
15,90.5075188,94.73684211,,,,,
16,90.60150376,95.01879699,,,,,
17,90.60150376,95.58270677,,,,,
18,90.78947368,95.58270677,,,,,
19,90.88345865,95.67669173,,,,,
20,91.91729323,95.86466165,,,,,
21,91.91729323,95.86466165,,,,,
22,91.91729323,95.86466165,,,,,
23,91.91729323,95.86466165,,,,,
24,91.91729323,95.86466165,,,,,
25,91.91729323,95.95864662,,,,,
