batch #,A,B,C,D,E,11111111,batch size= 10
1,30.8447099,56.39931741,64.50511945,72.31228669,68.00341297,,
2,30.97269625,66.16894198,69.1552901,75.93856655,77.09044369,,
3,30.97269625,71.11774744,69.83788396,80.11945392,81.39931741,,
4,31.69795222,74.36006826,72.78156997,82.16723549,82.67918089,,
5,31.69795222,76.70648464,73.12286689,82.80716724,85.79351536,,
6,31.69795222,77.34641638,73.59215017,86.09215017,87.58532423,,
7,31.95392491,78.15699659,74.36006826,86.26279863,87.96928328,,
8,31.95392491,79.09556314,74.70136519,87.37201365,88.22525597,,
9,31.95392491,80.16211604,74.78668942,87.58532423,89.16382253,,
10,32.03924915,80.46075085,75.04266212,87.84129693,89.24914676,,
11,32.03924915,81.39931741,75.08532423,87.88395904,90.35836177,,
12,32.03924915,81.39931741,75.08532423,88.65187713,90.52901024,,
13,32.16723549,81.44197952,75.17064846,88.90784983,90.99829352,,
14,32.16723549,81.44197952,75.17064846,88.90784983,91.68088737,,
15,32.16723549,81.44197952,75.17064846,88.95051195,91.68088737,,
16,32.16723549,81.44197952,75.17064846,88.99317406,91.68088737,,
17,32.16723549,81.44197952,75.17064846,88.99317406,91.72354949,,
18,32.16723549,81.44197952,75.17064846,88.99317406,91.72354949,,
19,32.16723549,81.44197952,75.17064846,88.99317406,91.72354949,,
20,32.16723549,81.44197952,75.17064846,88.99317406,91.72354949,,
21,32.16723549,81.44197952,75.17064846,88.99317406,91.72354949,,
22,32.16723549,81.44197952,75.17064846,89.03583618,91.7662116,,
23,32.16723549,81.44197952,75.17064846,89.03583618,91.7662116,,
24,32.16723549,81.44197952,75.21331058,89.03583618,91.7662116,,
25,32.16723549,81.44197952,75.21331058,89.07849829,91.7662116,,
